n_electric,n_mechanical,timestamp
1,1,1631083964
3,4,1632100964
4,3,1630711364
1,4,1632650564
1,8,1631799164
2,2,1630403564
0,1,1631111629
2,7,1630500164
8,6,1632435164
6,8,1632688964
7,6,1631685764
5,13,1631832764
4,5,1631689364
6,6,1631629364
5,5,1631159564
2,9,1631497964
1,2,1632151364
0,0,1630918364
1,2,1631699564
5,16,1632285764
7,3,1631363564
4,9,1632544964
6,4,1631898164
2,9,1631290964
7,11,1630644164
2,7,1631553764
2,1,1630284164
1,1,1631522564
3,4,1632103364
8,12,1631737364
8,7,1631659364
4,9,1632545564
1,8,1632314564
2,7,1631515364
4,4,1630951364
1,6,1630727564
0,2,1632067364
2,7,1630499564
6,13,1630986164
3,0,1631211764
10,11,1632447764
7,3,1630708964
0,1,1631110964
0,12,1632822764
5,16,1630543964
3,8,1630136564
1,1,1630325564
0,0,1630692764
1,3,1630228964
3,10,1631983364
1,4,1630589564
3,11,1630968164
0,4,1631870564
5,9,1630650764
1,6,1630832564
4,10,1631824364
1,12,1632566564
6,8,1630858964
0,4,1632603164
5,16,1630530764
1,2,1631170364
5,16,1632788564
2,16,1630561964
1,5,1631517764
2,10,1630964564
1,8,1632519164
0,0,1630696364
2,5,1632155564
0,5,1631869364
6,13,1630988564
2,4,1631369564
1,15,1632048164
1,10,1632292364
5,10,1631990564
5,16,1632270164
0,1,1632398564
1,4,1631518364
0,13,1631283164
7,10,1632378764
1,0,1632747164
0,15,1632008564
0,5,1631015564
2,18,1632016364
6,12,1630632764
2,7,1632315764
3,5,1630154564
5,1,1631398364
1,2,1632073964
0,3,1632603764
9,11,1630611164
6,13,1630975364
2,0,1632146564
9,12,1631758964
0,3,1630779764
0,2,1630267964
14,8,1631925764
1,10,1631602964
2,1,1630287764
6,7,1630128764
1,7,1630574564
0,1,1631113964
0,0,1632395564
2,1,1630348964
1,1,1631683964
2,7,1630240964
5,10,1631989964
7,5,1630848164
3,12,1630994563
5,10,1630462964
8,6,1631557364
3,18,1632031364
1,5,1631046164
3,6,1630143764
1,5,1630593164
4,12,1630971164
6,8,1631067764
2,9,1631495564
3,8,1632521564
5,15,1631592164
0,2,1632064964
2,12,1631828564
5,6,1630872764
3,4,1632234164
2,2,1632500564
10,11,1632446564
5,16,1630557164
3,5,1631141564
9,12,1632178964
10,8,1631674364
0,10,1631006564
0,8,1632559964
0,5,1630254164
5,7,1630821764
4,9,1632543764
3,0,1630396364
1,2,1630945364
5,16,1632800564
0,0,1632486764
10,4,1631223764
1,4,1631189564
7,12,1630616564
0,0,1630221764
3,4,1632111764
1,4,1632597164
2,11,1631467964
6,14,1631563964
1,2,1631521364
3,7,1631796164
0,12,1631286164
8,8,1631311964
2,6,1630720364
2,7,1631482364
0,4,1632217364
2,8,1632520364
0,0,1631527364
6,1,1630701764
3,8,1631294564
3,3,1632094364
4,2,1631646164
3,13,1631268164
1,5,1630792964
6,13,1630622564
2,3,1630356164
5,16,1632805964
5,13,1630524764
4,3,1631709764
4,1,1631210564
1,3,1630676564
13,8,1632364364
0,2,1632219164
5,7,1630439564
0,10,1631817164
1,2,1631520764
0,1,1630266164
5,1,1632426764
4,4,1630255964
7,13,1630629164
1,6,1631104964
0,4,1632243764
1,6,1630729964
6,12,1631854964
8,12,1631335364
5,7,1630821164
1,0,1632407564
3,3,1632653564
0,7,1631029364
1,14,1632048764
0,4,1631611964
1,5,1630590764
0,9,1630960364
5,7,1630813364
0,2,1631878364
3,6,1630954964
3,2,1632499964
0,2,1632151964
1,3,1632139364
3,8,1631000564
0,1,1630215764
2,1,1632070964
6,8,1631065964
4,7,1632257564
5,11,1631968364
1,2,1631700164
5,5,1631147623
2,13,1631829164
4,5,1630717364
3,11,1631985764
7,12,1630614164
1,2,1630279964
2,7,1630734764
2,1,1632639164
0,10,1631789564
2,9,1630570364
2,14,1632046964
9,4,1631221964
7,4,1631214764
1,7,1631028164
13,8,1632370364
7,3,1630708364
4,1,1632633164
3,10,1630656164
9,12,1631751764
3,9,1631554364
1,2,1630278164
1,0,1630771364
1,1,1630172564
3,6,1632471764
8,7,1631631164
2,10,1632573164
0,0,1631531564
1,2,1631129622
4,0,1631386364
2,0,1631382164
1,5,1630788764
0,0,1631529164
2,9,1630569164
9,6,1630864364
6,12,1632204164
1,4,1631133764
4,3,1630428764
7,14,1632765764
0,0,1631526764
3,2,1631538764
4,4,1631716964
1,9,1632552164
1,0,1630297964
0,9,1631025164
1,1,1630939364
2,6,1632472364
0,2,1630275764
8,5,1632433964
0,11,1632586364
1,9,1630576364
5,15,1631562764
4,10,1630830164
1,10,1631815364
3,5,1632240164
9,12,1631256764
1,1,1631884964
1,4,1631052764
3,5,1632339164
9,8,1631314964
3,5,1632339764
10,8,1631667764
10,12,1631234564
0,1,1632129764
5,16,1630542164
8,5,1631408564
4,3,1632658964
8,12,1631346764
1,4,1632331364
5,13,1631835164
4,2,1631214164
0,2,1630272764
3,8,1631354564
3,10,1630447364
1,0,1630167164
6,3,1630689164
9,12,1631754764
3,18,1632030164
3,8,1632760364
0,0,1630303964
7,8,1630896764
1,8,1631026964
0,0,1632405164
10,4,1631220164
10,12,1631239364
1,2,1631089364
2,9,1631499164
7,8,1630905164
4,3,1632654164
1,1,1630310564
1,1,1632137564
4,10,1632542564
11,3,1631904764
2,4,1631516564
3,7,1630512164
4,4,1630373564
1,12,1632565964
2,7,1630506164
0,11,1631785364
3,4,1630435364
6,8,1631070764
2,1,1632420764
1,9,1630495364
3,4,1632114764
0,1,1631112764
4,10,1632538364
7,12,1631732564
4,9,1630829564
5,16,1632274364
9,9,1632436964
5,11,1630647164
1,3,1630587164
1,0,1631086964
9,12,1631767964
11,10,1632443564
2,4,1632234764
1,6,1630497764
5,10,1630459964
9,12,1631769164
9,8,1632376364
4,11,1630969364
13,8,1632354764
8,7,1631559764
5,16,1630546964
10,12,1631237564
0,10,1632568364
2,2,1631193164
10,8,1631677364
7,11,1631970163
6,6,1630908764
6,15,1631568764
1,5,1631103764
6,13,1630984364
1,5,1631306564
2,4,1632242564
4,3,1631123564
7,12,1632166364
1,2,1631037764
3,7,1630801364
5,5,1631959364
4,2,1630767764
3,7,1632720764
4,4,1630381964
8,3,1631899964
1,13,1631995964
3,8,1631355164
1,4,1631051564
4,10,1630455764
9,5,1631412164
6,13,1630990964
1,1,1632480164
0,0,1631084564
5,16,1630536764
3,3,1631122964
1,4,1631371964
3,2,1631457164
2,10,1631295764
2,0,1630681364
7,13,1631729564
0,13,1631782364
2,3,1631889764
2,3,1632085364
5,5,1631162564
7,11,1631262764
7,12,1631334164
4,5,1632342164
0,2,1631614964
4,2,1630257764
10,12,1632172364
0,0,1630176164
7,12,1630607564
4,6,1630433564
4,18,1632036164
6,7,1632687164
1,0,1631618564
2,7,1630737764
10,8,1631674964
1,3,1632119564
5,11,1632165164
5,10,1630464164
3,3,1632660164
3,7,1631553164
0,2,1630196564
7,4,1631685164
5,7,1630810364
10,8,1631671364
5,13,1631349764
1,10,1630572764
2,5,1630745564
3,2,1631455364
1,1,1630350164
1,1,1630160564
5,2,1632428564
1,8,1632571964
6,7,1632688363
5,2,1630842164
0,2,1631614364
2,5,1631138564
4,7,1630804964
2,4,1630368164
0,1,1632120164
3,1,1632619364
8,5,1631409164
0,3,1632613364
0,5,1632303164
4,4,1630387964
0,0,1630308164
0,4,1632216764
0,11,1632818564
4,4,1630386764
13,8,1632351164
8,12,1632200564
5,16,1630554764
3,7,1630801964
5,16,1632805364
0,2,1630267364
7,8,1630897964
0,0,1632136364
5,10,1630470764
7,8,1630905764
5,8,1631077964
5,6,1630437164
7,7,1632682964
1,11,1630492364
3,5,1631139164
3,9,1631506364
2,2,1632752564
4,10,1631823164
11,6,1631423564
6,8,1631073164
2,2,1631379164
1,2,1632389564
10,12,1632177164
0,14,1631282564
2,6,1630144364
1,5,1632753164
2,6,1630507364
2,9,1631491964
4,3,1632654764
3,1,1631212964
4,10,1632536564
0,9,1632829364
1,0,1630772564
1,1,1630281764
5,7,1630811564
5,15,1631591018
2,11,1632824564
4,2,1631693564
7,5,1631361164
1,13,1632575564
6,7,1630246364
0,1,1630314164
0,5,1631014364
3,12,1631350364
1,1,1630341164
8,12,1631734364
2,2,1631201564
0,3,1630183364
1,0,1630300364
1,9,1632572564
3,2,1630169564
0,0,1630224764
10,4,1632414764
4,8,1630138364
2,6,1630721564
3,2,1631458364
3,3,1632325964
3,9,1630442564
4,7,1630806164
10,4,1630849364
6,6,1631058764
2,6,1630506764
0,0,1632121364
6,13,1631770964
0,1,1630223564
1,16,1632012764
2,4,1630953764
3,4,1632114164
6,1,1630700564
1,3,1632652364
